FID,assem_dist,asset_id,at_between,boro_cd,boro_code,boro_name,cong_dist,coun_dist,latitude,location,longitude,nodeid,physical_i,segment_id,shelter_id,st_sen_dis,street
0,53.000000000000000,1.000000000000000,LORIMER ST,301.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,34.000000000000000,40.706811999999999,MONTROSE AV,-73.947830999999994,0.000000000000000,91546.000000000000000,0031244,BR0003,18.000000000000000,MONTROSE AVENUE
1,50.000000000000000,2.000000000000000,HERBERT ST,301.000000000000000,3.000000000000000,Brooklyn,12.000000000000000,34.000000000000000,40.719096999999998,GRAHAM AV,-73.945161999999996,0.000000000000000,45754.000000000000000,0035598,BR0014,18.000000000000000,GRAHAM AVENUE
2,53.000000000000000,3.000000000000000,LEONARD ST,301.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,34.000000000000000,40.702976000000000,BROADWAY,-73.945783000000006,19920.000000000000000,43972.000000000000000,0031350,BR0026,18.000000000000000,BROADWAY
3,50.000000000000000,4.000000000000000,HERBERT ST,301.000000000000000,3.000000000000000,Brooklyn,12.000000000000000,34.000000000000000,40.720194999999997,KINGSLAND AV,-73.940836000000004,40551.000000000000000,48893.000000000000000,0065844,BR0028,18.000000000000000,KINGSLAND AVENUE
4,50.000000000000000,5.000000000000000,MYRTLE AV,302.000000000000000,3.000000000000000,Brooklyn,8.000000000000000,35.000000000000000,40.693440000000002,VANDERBILT AV,-73.969795000000005,0.000000000000000,60512.000000000000000,0030196,BR0040,25.000000000000000,VANDERBILT AVENUE
5,52.000000000000000,6.000000000000000,COURT ST,302.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,33.000000000000000,40.689487999999997,Atlantic Av,-73.992056000000005,0.000000000000000,43130.000000000000000,0115088,BR0049,26.000000000000000,ATLANTIC AVENUE
6,52.000000000000000,7.000000000000000,COURT ST,302.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,33.000000000000000,40.689883000000002,Atlantic Av,-73.992675000000006,0.000000000000000,43129.000000000000000,0023814,BR0050,26.000000000000000,ATLANTIC AVENUE
7,52.000000000000000,8.000000000000000,CLARK ST,302.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,33.000000000000000,40.696790999999997,Cadman Plz West,-73.991490999999996,9036273.000000000000000,148684.000000000000000,0262639,BR0055,26.000000000000000,CADMAN PLAZA WEST
8,52.000000000000000,9.000000000000000,SMITH ST,302.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,33.000000000000000,40.690251000000004,LIVINGSTON ST,-73.987568999999993,0.000000000000000,55244.000000000000000,0024185,BR0058,25.000000000000000,LIVINGSTON STREET
9,57.000000000000000,10.000000000000000,DEKALB AV,302.000000000000000,3.000000000000000,Brooklyn,8.000000000000000,35.000000000000000,40.689650000000000,VANDERBILT AV,-73.969239000000002,0.000000000000000,60510.000000000000000,0030180,BR0062,25.000000000000000,VANDERBILT AVENUE
10,56.000000000000000,11.000000000000000,LAFAYETTE AV,303.000000000000000,3.000000000000000,Brooklyn,8.000000000000000,36.000000000000000,40.690269999999998,TOMPKINS AV,-73.945376999999993,0.000000000000000,44634.000000000000000,0031293,BR0085,25.000000000000000,TOMPKINS AVENUE
11,56.000000000000000,12.000000000000000,FULTON ST,303.000000000000000,3.000000000000000,Brooklyn,8.000000000000000,36.000000000000000,40.679400000000001,TROY AV,-73.934949000000003,26817.000000000000000,47956.000000000000000,0043191,BR0097,25.000000000000000,TROY AVENUE
12,57.000000000000000,13.000000000000000,BETWEEN FRANKLIN AV & SPENSER,303.000000000000000,3.000000000000000,Brooklyn,8.000000000000000,36.000000000000000,40.681100000000001,FULTON ST BETWEEN FRANKLIN AV & SPENSER,-73.955399999999997,0.000000000000000,39107.000000000000000,0029564,BR0105,25.000000000000000,FULTON STREET
13,56.000000000000000,14.000000000000000,THROOP AV,303.000000000000000,3.000000000000000,Brooklyn,8.000000000000000,36.000000000000000,40.696134999999998,MYRTLE AV,-73.943295000000006,9002489.000000000000000,43628.000000000000000,9007438,BR0113,18.000000000000000,MYRTLE AVENUE
14,56.000000000000000,15.000000000000000,NOSTRAND AV,303.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,36.000000000000000,40.695092000000002,MYRTLE AV,-73.952319000000003,19748.000000000000000,43625.000000000000000,9008424,BR0131,18.000000000000000,MYRTLE AVENUE
15,53.000000000000000,16.000000000000000,DEKALB AV,304.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,37.000000000000000,40.699429000000002,WILSON AV,-73.923620999999997,0.000000000000000,72378.000000000000000,0044875,BR0140,18.000000000000000,WILSON AVENUE
16,54.000000000000000,17.000000000000000,HALSEY ST,304.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,37.000000000000000,40.691476000000002,WILSON AV,-73.909370999999993,28008.000000000000000,72399.000000000000000,0045356,BR0143,18.000000000000000,WILSON AVENUE
17,54.000000000000000,18.000000000000000,BROADWAY,304.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,34.000000000000000,40.692968999999998,KOSSUTH PL,-73.927548999999999,0.000000000000000,99093.000000000000000,0044672,BR0145,18.000000000000000,KOSSUTH PLACE
18,53.000000000000000,19.000000000000000,WYCKOFF AV,304.000000000000000,3.000000000000000,Brooklyn,7.000000000000000,37.000000000000000,40.699353000000002,PALMETTO ST,-73.911114999999995,27962.000000000000000,66335.000000000000000,0128598,BR0155,18.000000000000000,PALMETTO STREET
